category,date,name,source,website
Unlicensed entities,2004-08-13,Global Mercantile Advisors Ltd,sfc,www.gmercadvisors.com
Phishes,,Citibank Online,sfc,
Unlicensed entities,,Glebe Investment Holdings,sfc,
Unlicensed entities,,"DKM Global Management, Inc",sfc,
Unlicensed entities,2004-08-18,General Mercantile Advisors Ltd,sfc,www.gmercadvisors.com
Unlicensed entities,,Breakthrough Incorporated,sfc,
Unlicensed entities,2004-08-25,zqgroups.com,sfc,www.zqgroups.com
Unlicensed entities,2004-09-01,McBain Baxter Holdings Limited,sfc,www.mcbainbaxter.net
Unlicensed entities,,Smart Port Asset Management,sfc,www.smartport.cn
Phishes,,Citibank's Citi Identity Theft Solutions,sfc,
Unlicensed entities,,Steel Mercantile Portfolio,sfc,
Unlicensed entities,,Goldmany (Hong Kong),sfc,www.goldmany.com
Unlicensed entities,,Warren Futures Limited,sfc,
Unlicensed entities,,Emerald Worldwide Holdings Inc.,sfc,
Unlicensed entities,,Axa St John,sfc,
Unlicensed entities,,Worldcorp Intertrade Limited,sfc,www.world.cit.com
Unlicensed entities,,Vannex Corporation,sfc,
Unlicensed entities,2004-10-13,Solitaire Management Services Ltd,sfc,www.glbasia.com
Unlicensed entities,,D M Gray Consulting,sfc,www.dmgrayconsulting.com
Unlicensed entities,2004-10-19,Mckenzie Goldstein & Associates,sfc,www.mckenzie-goldstein.com
Unlicensed entities,,Baros Corporation,sfc,www.Baroscorporation.com
Unlicensed entities,,SpartaMatrix,sfc,
Unlicensed entities,2004-11-10,The Williams Group,sfc,www.williamsoffshore.com
Unlicensed entities,,Maxi-Trade Company,sfc,www.maxi-trade.com
Unlicensed entities,,Easystar Securities Limited,sfc,www.etradex.com.hk
Unlicensed entities,,Easystar Int'l Holdings Limited,sfc,www.etradex.com.hk
Unlicensed entities,,Easystar Forex Investment Limited,sfc,www.etradex.com.hk
Phishes,,SunTrust Bank,sfc,
Suspicious websites,2004-11-24,Standard Capital Intermational Coroperation Ltd,sfc,www.stdcap.com
Unlicensed entities,,Benson & Raymond Acquisitions Inc.,sfc,www.bensonandraymond.com
Suspicious websites,,Bao Tai Commercial Bank,sfc,www.hkbaotai.com
Unlicensed entities,,Asia Yard Investments Ltd,sfc,
Unlicensed entities,,Lloyds and Barclays Inc.,sfc,
Phishes,,Washington Mutual Bank,sfc,
Unlicensed entities,2004-12-08,Goldmill Wagner Associates,sfc,www.goldmillwagner.com
Unlicensed entities,2004-12-08,The Manhattan Pacific Group,sfc,www.manhattanpacificgroup.com
Unlicensed entities,,International Options Trading Limited Pty,sfc,
Unlicensed entities,2004-12-15,Global Options Group,sfc,www.globaloptions.org
Unlicensed entities,,World Trade Assets Association,sfc,www.wtami.com
Unlicensed entities,,Hantec Group Asset Management Limited,sfc,
Unlicensed entities,,Mission Finance Limited,sfc,
Unlicensed entities,,World Trade Assets Institute,sfc,www.wtami.com
Unlicensed entities,,World Trade Assets Market Inc.,sfc,www.wtami.com
Phishes,,Smith Barney,sfc,
Suspicious websites,,UBHK Securities Company Limited,sfc,http://unionbankhk.com
Suspicious websites,,Union Bank of China,sfc,http://unionbankhk.com
Unlicensed entities,,WeNew.net,sfc,
Unlicensed entities,,Capital Management Group,sfc,www.capmangroup.com
Unlicensed entities,,Yamato & Associates,sfc,www.yamatoandassociates.com
Phishes,,Regions Bank,sfc,
Unlicensed entities,,Harrison Lee Partners,sfc,www.harrisonlee.com
Unlicensed entities,2005-02-16,Warner Beck Incorporated,sfc,www.warnerbeck.com
Unlicensed entities,2005-02-22,SMI Limited (BVI),sfc,www.smiequity.com
Unlicensed entities,,Porter Ventures,sfc,www.portvent.com
Suspicious websites,,Euro Yen Usd,sfc,www.euroyenusd.com
Unlicensed entities,2005-03-16,Youngson International Holdings Limited,sfc,www.youngsonholdings.com
Unlicensed entities,,Parlement Associates Inc.,sfc,www.parlementinc.com
Unlicensed entities,,American International Securities Inc.,sfc,
Unlicensed entities,2005-03-16,Youngson International Holding,sfc,www.youngsonholdings.com
Suspicious websites,,www.orcb.net,sfc,
Unlicensed entities,2005-04-06,Continental Allied Incorporated,sfc,www.continentalallied.com
Unlicensed entities,2005-04-12,Asia Pacific Group,sfc,www.asiapacific-group.com
