name,website,category,date,source
APAC Finance Ltd.,,Unlicensed entities,,sfc
Global Investor's Network System,www.ginsystem.com,Unlicensed entities,,sfc
Wells Fargo,,Phishes,,sfc
Wilton & Smythe Associates,www.wiltonsmythe.com,Unlicensed entities,,sfc
Asia Pacific International Investment Trust,www.asiapacific-group.com,Unlicensed entities,2005-04-12,sfc
Taylor Ferguson,,Unlicensed entities,,sfc
eBay,,Phishes,,sfc
LaSalle Bank,,Phishes,,sfc
Guardex Holdings,www.guardexholdings.com,Unlicensed entities,2005-07-06,sfc
The Kaikatsu Group,www.kaikatsu-group.com,Unlicensed entities,2005-07-06,sfc
First Swiss Financial Management AG,,Unlicensed entities,,sfc
Opus Financial Group,www.opusfinancialgroup.tc/index.html,Unlicensed entities,2005-07-06,sfc
Devlin Stern & Associates,www.devlinstern.com,Unlicensed entities,,sfc
Landmark Trade Services Ltd,,Unlicensed entities,,sfc
The Stockton Group Limited,www.stocktongroup.net,Unlicensed entities,,sfc
The Prestige Perspective,www.theprestigeperspective.com,Unlicensed entities,2005-08-03,sfc
Morgan Lansky Inc.,,Unlicensed entities,,sfc
Woodson Ross & Associates,,Unlicensed entities,,sfc
Private Equity Traders,www.privateequitytraders.sk,Unlicensed entities,2005-09-14,sfc
Bloomberg & Associates,,Unlicensed entities,,sfc
ABN Assets,www.abnassets.com,Suspicious websites,,sfc
"Decatur International, Inc.",www.decaturinternational.com,Unlicensed entities,2005-09-21,sfc
Bentley International Management Ltd,www.bentleymanagement.com,Unlicensed entities,2005-08-02,sfc
Bedford Investments Inc.,www.bedfordinvest.com,Unlicensed entities,,sfc
Lee Andrews Wright & Associates,www.leeandrewswright.com,Unlicensed entities,,sfc
Cahill & Audleman,www.cahillaudleman.com,Unlicensed entities,,sfc
Mercury Global Ltd.,www.mercglobal.net,Unlicensed entities,2005-10-14,sfc
Crossino Holdings Limited,www.crossino.com,Unlicensed entities,2005-10-05,sfc
Global Strategy Management,www.global-strategy-management.com,Unlicensed entities,2005-10-19,sfc
Global Commodities Inc.,www.globaloptions.org,Unlicensed entities,2005-10-25,sfc
Cheoy Lee Asset Management Asia,www.cheoyleeam.com,Unlicensed entities,,sfc
Factor Ten Financial,www.factortenfinancial.com,Unlicensed entities,2005-11-01,sfc
Hong Kong and Shanghai Securities Ltd,www.hkssl-uk.com,Suspicious websites,2005-11-01,sfc
Smith and Henderson,,Unlicensed entities,,sfc
Pinnacle Global Corporation,www.pinnacleglobalcorp.com,Unlicensed entities,2005-11-09,sfc
Beacon Capital Management,www.beaconcapitalmgt.com,Unlicensed entities,2005-10-19,sfc
Price Stone Group SI,,Unlicensed entities,,sfc
Fong & Marcus Mergers and Acquisitions,www.fongma.com,Unlicensed entities,2005-12-02,sfc
Gather Business Forex Investments Limited,www.f-easy.com,Unlicensed entities,,sfc
FX Millenia Limited,www.fxmillenia.com,Unlicensed entities,2005-12-06,sfc
Brinks Holdings Limited,,Unlicensed entities,,sfc
Firstmax Trading Limited,,Unlicensed entities,,sfc
Holdings Universal,www.holdingsuniversal.com,Unlicensed entities,2005-12-08,sfc
Yinkou Securities Co. Ltd.,www.yinkou.com,Unlicensed entities,2005-12-08,sfc
China Union Group Limited,,Unlicensed entities,,sfc
Wang Lee Mergers & Acquisitions,,Unlicensed entities,,sfc
Schwartz Woodman,www.schwartzwoodman.com,Unlicensed entities,,sfc
Irving Horowitz Mergers and Acquisitions,,Unlicensed entities,,sfc
